system, nfr, file, changes_before, changes_after
spring-security,Maintainability,CommonOAuth2Provider.java,19,27
spring-security,Maintainability,OidcIdTokenValidator.java,12,18
spring-security,Maintainability,ClientRegistration.java,43,64
spring-security,Maintainability,ClientRegistrations.java,11,26
spring-security,Maintainability,SecurityFilters.java,10,26
spring-security,Maintainability,CookieRequestCache.java,0,12
spring-security,Maintainability,JndiDnsResolver.java,10,14
spring-security,Maintainability,SessionManagementConfigurer.java,26,67
spring-security,Maintainability,SessionManagementConfigurer.java,33,67
spring-security,Maintainability,RoleHierarchyImpl.java,13,23
spring-security,Maintainability,SessionRegistryImpl.java,15,24
spring-security,Maintainability,FilterInvocationSecurityMetadataSourceParser.java,16,29
spring-security,Maintainability,OAuth2ResourceServerSecurityConfiguration.java,3,14
spring-security,Maintainability,BCrypt.java,8,24
spring-security,Maintainability,BCryptPasswordEncoder.java,5,16
spring-security,Maintainability,BasicLookupStrategy.java,49,53
spring-security,Maintainability,JdbcAclService.java,36,38
spring-security,Maintainability,ClaimAccessor.java,18,23
spring-security,Maintainability,JwtGrantedAuthoritiesConverter.java,9,15
spring-security,Maintainability,ServerHttpSecurity.java,100,100
spring-security,Maintainability,DefaultOAuth2AuthorizationRequestResolver.java,10,28
spring-security,Maintainability,DefaultServerOAuth2AuthorizationRequestResolver.java,8,20
spring-security,Maintainability,OAuth2AuthorizationRequest.java,10,23
spring-security,Maintainability,AbstractAuthenticationProcessingFilter.java,46,48
spring-security,Maintainability,JwtIssuerAuthenticationManagerResolver.java,8,13
spring-security,Maintainability,JwtIssuerReactiveAuthenticationManagerResolver.java,9,14
spring-security,Maintainability,SessionManagementConfigurer.java,20,67
spring-security,Maintainability,ReferrerPolicyHeaderWriter.java,1,9
spring-security,Maintainability,OAuth2ResourceServerConfigurer.java,12,52
spring-security,Maintainability,AuthenticationManagerResolver.java,0,2
spring-security,Maintainability,JwtAuthenticationProvider.java,4,15
spring-security,Maintainability,BearerTokenAuthenticationFilter.java,1,20
