system,nfr,file,changes_before,changes_after
spring-security,Maintainability,CommonOAuth2Provider.java,8,27
spring-security,Maintainability,OidcIdTokenValidator.java,6,18
spring-security,Maintainability,ClientRegistration.java,21,64
spring-security,Maintainability,ClientRegistrations.java,15,26
spring-security,Maintainability,SecurityFilters.java,16,26
spring-security,Maintainability,CookieRequestCache.java,12,12
spring-security,Maintainability,JndiDnsResolver.java,4,14
spring-security,Maintainability,SessionManagementConfigurer.java,41,67
spring-security,Maintainability,SessionManagementConfigurer.java,34,67
spring-security,Maintainability,RoleHierarchyImpl.java,10,23
spring-security,Maintainability,SessionRegistryImpl.java,9,24
spring-security,Maintainability,FilterInvocationSecurityMetadataSourceParser.java,13,29
spring-security,Maintainability,OAuth2ResourceServerSecurityConfiguration.java,11,14
spring-security,Maintainability,BCrypt.java,16,24
spring-security,Maintainability,BCryptPasswordEncoder.java,11,16
spring-security,Maintainability,BasicLookupStrategy.java,4,53
spring-security,Maintainability,JdbcAclService.java,2,38
spring-security,Maintainability,ClaimAccessor.java,5,23
spring-security,Maintainability,JwtGrantedAuthoritiesConverter.java,6,15
spring-security,Maintainability,ServerHttpSecurity.java,75,100
spring-security,Maintainability,DefaultOAuth2AuthorizationRequestResolver.java,18,28
spring-security,Maintainability,DefaultServerOAuth2AuthorizationRequestResolver.java,12,20
spring-security,Maintainability,OAuth2AuthorizationRequest.java,13,23
spring-security,Maintainability,AbstractAuthenticationProcessingFilter.java,2,48
spring-security,Maintainability,JwtIssuerAuthenticationManagerResolver.java,5,13
spring-security,Maintainability,JwtIssuerReactiveAuthenticationManagerResolver.java,5,14
spring-security,Maintainability,SessionManagementConfigurer.java,47,67
spring-security,Maintainability,ReferrerPolicyHeaderWriter.java,8,9
spring-security,Maintainability,OAuth2ResourceServerConfigurer.java,40,52
spring-security,Maintainability,AuthenticationManagerResolver.java,2,2
spring-security,Maintainability,JwtAuthenticationProvider.java,11,15
spring-security,Maintainability,BearerTokenAuthenticationFilter.java,19,20
spring-security,Maintainability,MockWebServerEnvironmentPostProcessor.java,2,2
spring-security,Maintainability,MockWebServerPropertySource.java,3,3
spring-security,Maintainability,package-info.java,2,2
spring-security,Maintainability,OAuth2ResourceServerApplication.java,3,3
spring-security,Maintainability,OAuth2ResourceServerController.java,5,5
spring-security,Maintainability,OAuth2ResourceServerSecurityConfiguration.java,14,14
spring-security,Maintainability,DelegatingJwtGrantedAuthoritiesConverter.java,2,2
spring-security,Maintainability,OAuth2ClientConfiguration.java,20,21
spring-security,Maintainability,OAuth2ClientConfigurer.java,20,22
spring-security,Maintainability,AuthenticatedPrincipalOAuth2AuthorizedClientRepository.java,8,8
spring-security,Maintainability,HttpSessionOAuth2AuthorizedClientRepository.java,7,7
spring-security,Maintainability,OAuth2AuthorizationCodeGrantFilter.java,20,23
spring-security,Maintainability,OAuth2AuthorizedClientRepository.java,6,6
spring-security,Maintainability,OAuth2AuthorizedClientArgumentResolver.java,22,22
spring-security,Maintainability,MethodSecurityExpressionRoot.java,6,13
spring-security,Maintainability,Pbkdf2PasswordEncoder.java,17,20
spring-security,Maintainability,SecurityConfigurer.java,4,7
spring-security,Maintainability,AclClassIdUtils.java,10,15
spring-security,Maintainability,BasicLookupStrategy.java,15,53
spring-security,Maintainability,AssertionImplMixin.java,7,11
spring-security,Maintainability,AttributePrincipalImplMixin.java,7,11
spring-security,Maintainability,CasAuthenticationTokenMixin.java,7,11
spring-security,Maintainability,CasAuthenticationFilter.java,16,25
spring-security,Maintainability,AbstractConfiguredSecurityBuilder.java,9,22
spring-security,Maintainability,SecurityConfigurerAdapter.java,10,20
spring-security,Maintainability,AuthenticationConfiguration.java,13,35
spring-security,Maintainability,InitializeAuthenticationProviderBeanManagerConfigurer.java,7,10
spring-security,Maintainability,InitializeUserDetailsBeanManagerConfigurer.java,7,13
spring-security,Maintainability,AutowireBeanFactoryObjectPostProcessor.java,9,19
spring-security,Maintainability,GlobalMethodSecurityConfiguration.java,13,52
spring-security,Maintainability,GlobalMethodSecuritySelector.java,6,15
spring-security,Maintainability,HttpSecurity.java,70,100
spring-security,Maintainability,AutowiredWebSecurityConfigurersIgnoreParents.java,6,10
spring-security,Maintainability,WebSecurityConfigurerAdapter.java,17,57
spring-security,Maintainability,AbstractInterceptUrlConfigurer.java,7,19
spring-security,Maintainability,ExpressionUrlAuthorizationConfigurer.java,12,36
spring-security,Maintainability,UrlAuthorizationConfigurer.java,16,34
spring-security,Maintainability,AbstractSecurityWebSocketMessageBrokerConfigurer.java,10,35
spring-security,Maintainability,RsaKeyConversionServicePostProcessor.java,8,9
spring-security,Maintainability,AuthenticationConfigBuilder.java,33,76
spring-security,Maintainability,HttpConfigurationBuilder.java,43,98
spring-security,Maintainability,HttpSecurityBeanDefinitionParser.java,19,76
spring-security,Maintainability,LogoutBeanDefinitionParser.java,11,27
spring-security,Maintainability,SecurityFilters.java,11,26
spring-security,Maintainability,ProtectPointcutPostProcessor.java,9,22
spring-security,Maintainability,SecurityWebFiltersOrder.java,3,15
spring-security,Maintainability,WebSessionServerLogoutHandler.java,1,1
spring-security,Maintainability,HeaderWriterFilter.java,9,20
spring-security,Maintainability,LazyCsrfTokenRepository.java,12,14
spring-security,Maintainability,RSocketSecurity.java,1,24
spring-security,Maintainability,EnableWebFluxSecurity.java,1,15
spring-security,Maintainability,ServerHttpSecurity.java,26,100
spring-security,Maintainability,SecurityConfigurerAdapter.java,16,20
spring-security,Maintainability,WebSecurityConfigurerAdapter.java,12,57
spring-security,Maintainability,HeadersConfigurer.java,16,48
spring-security,Maintainability,PathMatcherServerWebExchangeMatcher.java,4,7
spring-security,Maintainability,HttpBasicConfigurer.java,14,30
spring-security,Maintainability,SessionFixationProtectionStrategy.java,12,29
spring-security,Maintainability,HeadersConfigurer.java,25,48
spring-security,Maintainability,InitializeUserDetailsBeanManagerConfigurer.java,0,13
spring-security,Maintainability,AbstractSecurityWebSocketMessageBrokerConfigurer.java,18,35
spring-security,Maintainability,JdbcDaoImpl.java,10,24
spring-security,Maintainability,S101Configure.java,1,1
spring-security,Maintainability,S101Configurer.java,5,5
spring-security,Maintainability,S101Install.java,1,1
spring-security,Maintainability,S101Plugin.java,2,2
spring-security,Maintainability,S101PluginExtension.java,2,2
spring-security,Maintainability,WebSecurity.java,24,61
spring-security,Maintainability,CompositeRequestRejectedHandler.java,2,2
spring-security,Maintainability,Jwt.java,8,12
spring-security,Maintainability,JwtAuthenticationToken.java,7,10
spring-security,Maintainability,SessionManagementConfigurer.java,43,67
spring-security,Maintainability,HttpConfigurationBuilder.java,46,98
spring-security,Maintainability,ChangeSessionIdAuthenticationStrategy.java,6,10
spring-security,Maintainability,SessionFixationProtectionStrategy.java,9,29
spring-security,Maintainability,HttpServletRequestFactory.java,7,11
spring-security,Maintainability,EhCacheBasedTicketCache.java,10,18
spring-security,Maintainability,package-info.java,5,9
spring-security,Maintainability,AuthenticationManagerBuilder.java,8,20
spring-security,Maintainability,HttpSecurity.java,98,100
spring-security,Maintainability,ExpressionUrlAuthorizationConfigurer.java,14,36
spring-security,Maintainability,HeadersConfigurer.java,28,48
spring-security,Maintainability,LogoutConfigurer.java,18,40
spring-security,Maintainability,MessageDigestPasswordEncoder.java,0,12
spring-security,Maintainability,package-info.java,0,4
spring-security,Maintainability,AbstractJaasAuthenticationProvider.java,8,17
spring-security,Maintainability,ExceptionTranslationFilter.java,17,31
spring-security,Maintainability,OidcIdTokenDecoderFactory.java,11,16
spring-security,Maintainability,ReactiveOidcIdTokenDecoderFactory.java,11,15
spring-security,Maintainability,OidcReactiveOAuth2UserService.java,10,12
spring-security,Maintainability,OidcUserService.java,10,25
spring-security,Maintainability,ClaimAccessor.java,11,23
spring-security,Maintainability,ClaimConversionService.java,3,3
spring-security,Maintainability,ClaimTypeConverter.java,7,7
spring-security,Maintainability,ObjectToBooleanConverter.java,5,5
spring-security,Maintainability,ObjectToInstantConverter.java,4,4
spring-security,Maintainability,ObjectToListStringConverter.java,6,6
spring-security,Maintainability,ObjectToMapStringObjectConverter.java,5,5
spring-security,Maintainability,ObjectToStringConverter.java,5,5
spring-security,Maintainability,ObjectToURLConverter.java,4,4
spring-security,Maintainability,MappedJwtClaimSetConverter.java,9,12
spring-security,Maintainability,Saml2LoginConfigurer.java,17,36
spring-security,Maintainability,Saml2AuthenticationToken.java,3,12
spring-security,Maintainability,HttpSessionSaml2AuthenticationRequestRepository.java,2,2
spring-security,Maintainability,Saml2AuthenticationRequestRepository.java,2,2
spring-security,Maintainability,Saml2WebSsoAuthenticationFilter.java,9,27
spring-security,Maintainability,Saml2WebSsoAuthenticationRequestFilter.java,11,34
spring-security,Maintainability,Saml2AuthenticationTokenConverter.java,9,20
spring-security,Maintainability,InMemoryUserDetailsManager.java,12,23
spring-security,Security,SecurityConfig.java,5,9
spring-security,Security,OpenSamlAuthenticationProvider.java,37,44
spring-security,Security,RelyingPartyRegistrationRepository.java,7,8
spring-security,Security,CommonOAuth2Provider.java,8,27
spring-security,Security,OidcIdTokenValidator.java,6,18
spring-security,Security,ClientRegistration.java,21,64
spring-security,Security,ClientRegistrations.java,15,26
spring-security,Security,SecurityFilters.java,16,26
spring-security,Security,OAuth2LoginAuthenticationFilter.java,3,48
spring-security,Security,LdapAuthenticationProviderConfigurer.java,28,36
spring-security,Security,CookieRequestCache.java,12,12
spring-security,Security,LdapAuthenticationProviderConfigurer.java,14,36
spring-security,Security,Tomcat8AcegiUserRealm.java,0,0
spring-security,Security,SessionManagementConfigurer.java,41,67
spring-security,Security,ClientRegistrationsBeanDefinitionParser.java,8,12
spring-security,Security,OAuth2AuthorizationRequest.java,13,23
spring-security,Security,OpenSamlAuthenticationProvider.java,39,44
spring-security,Security,OpenSamlAuthenticationRequestFactory.java,25,26
spring-security,Security,OpenSamlImplementation.java,8,9
spring-security,Security,Saml2AuthenticationException.java,10,12
spring-security,Security,Saml2AuthenticationRequestFactory.java,11,12
spring-security,Security,Saml2Error.java,8,10
spring-security,Security,Saml2ErrorCodes.java,8,10
spring-security,Security,AbstractPreAuthenticatedProcessingFilter.java,17,50
spring-security,Security,OAuth2LoginConfigurer.java,26,100
spring-security,Security,ServerHttpSecurity.java,100,100
spring-security,Security,OidcAuthorizationCodeAuthenticationProvider.java,17,39
spring-security,Security,OidcAuthorizationCodeReactiveAuthenticationManager.java,20,26
spring-security,Security,OidcIdTokenValidator.java,18,18
spring-security,Security,JwtDecoderFactory.java,6,6
spring-security,Security,ReactiveJwtDecoderFactory.java,6,6
spring-security,Security,WebSecurityConfigurerAdapter.java,21,57
spring-security,Security,RequestCacheConfigurer.java,9,23
spring-security,Security,UrlAuthorizationConfigurer.java,19,34
spring-security,Security,OAuth2ResourceServerConfigurer.java,40,52
spring-security,Security,CsrfBeanDefinitionParser.java,22,30
spring-security,Security,OAuth2LoginConfigurer.java,17,100
spring-security,Security,OAuth2LoginAuthenticationFilter.java,9,48
spring-security,Security,SessionFixationProtectionEvent.java,6,6
spring-security,Security,SessionFixationProtectionMigrationEvent.java,0,0
spring-security,Security,SessionFixationProtectionStrategy.java,19,29
spring-security,Security,ConcurrentSessionControlAuthenticationStrategy.java,9,14
spring-security,Security,AbstractRememberMeServices.java,27,60
spring-security,Security,JwtGrantedAuthoritiesConverter.java,13,15
spring-security,Security,JwtProcessors.java,4,4
spring-security,Security,ServerHttpSecurity.java,95,100
spring-security,Security,OidcUserInfo.java,2,13
spring-security,Security,ServerHttpSecurity.java,75,100
spring-security,Security,HttpSecurity.java,100,100
spring-security,Security,HeadersConfigurer.java,39,48
spring-security,Security,HeadersBeanDefinitionParser.java,23,37
spring-security,Security,AbstractPasswordEncoder.java,7,7
spring-security,Security,PBKDF2PasswordEncoder.java,2,2
spring-security,Security,StandardPasswordEncoder.java,14,19
spring-security,Security,JwtBearerOAuth2AuthorizedClientProvider.java,4,4
spring-security,Security,OAuth2AuthorizationContext.java,2,9
spring-security,Security,OAuth2AuthorizedClientProviderBuilder.java,4,14
spring-security,Security,DefaultJwtBearerTokenResponseClient.java,3,3
spring-security,Security,OAuth2JwtBearerGrantRequest.java,2,2
spring-security,Security,OAuth2JwtBearerGrantRequestEntityConverter.java,2,2
spring-security,Security,AuthorizationGrantType.java,5,20
spring-security,Security,OAuth2ParameterNames.java,6,16
spring-security,Security,JwtTimestampValidator.java,10,11
spring-security,Security,OidcIdTokenValidator.java,17,18
spring-security,Security,HttpSecurity.java,30,100
spring-security,Security,CsrfControllerAdvice.java,1,2
spring-security,Security,ClientRegistrations.java,1,26
spring-security,Security,DefaultBearerTokenResolver.java,1,14
spring-security,Security,JwtEncoder.java,1,1
spring-security,Security,JwtEncoderFactory.java,0,0
spring-security,Security,JwtSigningException.java,0,0
spring-security,Security,NimbusJwtDecoder.java,15,32
spring-security,Security,NimbusJwtEncoder.java,1,1
