NUMBER_ISSUE,System,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,LABEL,OBS
4119,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4119,None,-,-,-,-,Added support for detecting the DB2 Universal JDBC driver
3160,Spring Boot,https://github.com/spring-projects/spring-boot/pull/3160,Maintainability,"""Fix default value""","""fix default""",Title,-,
4618,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4618,Maintainability,""" be a little brittle and had to maintain""","""maintain""",Discussion,-,-
22164,Spring Boot,https://github.com/spring-projects/spring-boot/pull/22164,Maintainability,"""favour of it being maintained by the Atomikos team""","""maintained""",Discussion,-,-
15594,Spring Boot,https://github.com/spring-projects/spring-boot/pull/15594,None,-,-,-,-,-
26311,Spring Boot,https://github.com/spring-projects/spring-boot/pull/26311,None,-,-,-,-,-
118,Spring Boot,https://github.com/spring-projects/spring-boot/pull/118,Robustness,"""should fails fast"", ""the application starts and only the exception is logged"",
"" re-throws the Excpetion, ""shuts down""","""should fail"", ""exception"", ""re-throws"", ""shuts down""","Title, Description ",-,-
10000,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10000,Security,"""Add protected logger""","""protected""",Title,-,-
17591,Spring Boot,https://github.com/spring-projects/spring-boot/pull/17591,None,-,-,-,-,-
11431,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11431,None,-,-,-,-,-
6367,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6367,None,-,-,-,-,-
14471,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14471,None,-,-,-,-,-
9052,Spring Boot,https://github.com/spring-projects/spring-boot/pull/9052,Maintainability,"""Fixes configuration properties output for actuator ""","""configuration properties""",Title,-,-
31172,Spring Boot,https://github.com/spring-projects/spring-boot/pull/31172,None,-,-,-,-,-
20002,Spring Boot,https://github.com/spring-projects/spring-boot/pull/20002,None,-,-,-,-,-
15954,Spring Boot,https://github.com/spring-projects/spring-boot/pull/15954,None,-,-,-,-,-
11365,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11365,None,-,-,-,-,-
4120,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4120,None,-,-,-,-,-
16446,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16446,Maintainability,"""Small code cleanups such as removing a redundant class cast, null check and making fields final that can be final""","""clean""",Description,-,
7216,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7216,None,-,-,-,-,-
17703,Spring Boot,https://github.com/spring-projects/spring-boot/pull/17703,None,-,-,-,-,-
13078,Spring Boot,https://github.com/spring-projects/spring-boot/pull/13078,None,-,-,-,-,-
15823,Spring Boot,https://github.com/spring-projects/spring-boot/pull/15823,None,-,-,-,-,-
28779,Spring Boot,https://github.com/spring-projects/spring-boot/pull/28779,None,-,-,-,-,-
29703,Spring Boot,https://github.com/spring-projects/spring-boot/pull/29703,None,-,-,-,-,-
14497,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14497,None,-,-,-,-,-
6576,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6576,Maintainability,"""Adding a Tip about the trigger-file""","""tip""",Description,type: documentation,-
18166,Spring Boot,https://github.com/spring-projects/spring-boot/pull/18166,Maintainability,"""Simplify code""","""simplify""",Title,-,-
14212,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14212,None,-,-,-,-,-
19905,Spring Boot,https://github.com/spring-projects/spring-boot/pull/19905,None,-,-,-,-,-
4411,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4411,Performance,""" feature because of performance concern""","""performance""",Discussion,-,-
2998,Spring Boot,https://github.com/spring-projects/spring-boot/pull/2998,None,-,-,-,-,-
14937,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14937,Maintainability,"""replace lambda""","""replace""",Title,-,-
6672,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6672,None,-,-,-,-,-
7316,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7316,None,-,-,-,-,-
6410,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6410,Maintainability,"""Fixed ServletContextInitializer documentation""","""documentation""",Title,-,-
6782,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6782,None,-,-,-,-,-
5852,Spring Boot,https://github.com/spring-projects/spring-boot/pull/5852,Security,"""Use trust store of SSL store provider to set trust store in""","""SSL""",Title,-,-
7022,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7022,None,-,-,-,-,-
899,Spring Boot,https://github.com/spring-projects/spring-boot/pull/899,None,-,-,-,-,-
6579,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6579,None,-,-,-,-,-
5041,Spring Boot,https://github.com/spring-projects/spring-boot/pull/5041,Maintainability,"""Improve systemd service documentation""","""documentation""",Title,type: documentation,-
11604,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11604,Maintainability,"""This pull request clarifies TestRestTemplate documentation""","""documentation""",Description,type: enhancement,
20495,Spring Boot,https://github.com/spring-projects/spring-boot/pull/20495,None,-,-,-,-,-
5197,Spring Boot,https://github.com/spring-projects/spring-boot/pull/5197,Maintainability,"""Update Readme.adoc""","""readme""",Title,-,
1120,Spring Boot,https://github.com/spring-projects/spring-boot/pull/1120,None,-,-,-,-,-
19211,Spring Boot,https://github.com/spring-projects/spring-boot/pull/19211,Maintainability,"""Improve documentation coverage ""","""documentation""",Title,-,-
13614,Spring Boot,https://github.com/spring-projects/spring-boot/pull/13614,None,-,-,-,-,-
10708,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10708,None,-,-,-,-,-
6539,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6539,Maintainability,"""Enhanced documentation regarding ""","""documentation""",Title,type: documentation,-
23540,Spring Boot,https://github.com/spring-projects/spring-boot/pull/23540,None,-,-,-,-,-
10833,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10833,None,-,-,-,-,-
8585,Spring Boot,https://github.com/spring-projects/spring-boot/pull/8585,None,-,-,-,-,-
5627,Spring Boot,https://github.com/spring-projects/spring-boot/pull/5627,None,-,-,-,-,-
11388,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11388,None,-,-,-,-,-
8161,Spring Boot,https://github.com/spring-projects/spring-boot/pull/8161,None,-,-,-,-,-
14592,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14592,None,-,-,-,-,-
12635,Spring Boot,https://github.com/spring-projects/spring-boot/pull/12635,None,-,-,-,-,-
11451,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11451,None,-,-,-,-,-
3942,Spring Boot,https://github.com/spring-projects/spring-boot/pull/3942,None,-,-,-,-,-
11762,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11762,Maintainability,"""Fixing duplication of String literals""","""duplication""",-,-,-
1597,Spring Boot,https://github.com/spring-projects/spring-boot/pull/1597,None,-,-,-,-,-
3014,Spring Boot,https://github.com/spring-projects/spring-boot/pull/3014,None,-,-,-,-,-
607,Spring Boot,https://github.com/spring-projects/spring-boot/pull/607,None,-,-,-,-,-
25781,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25781,None,-,-,-,-,-
20141,Spring Boot,https://github.com/spring-projects/spring-boot/pull/20141,None,-,-,-,-,-
22256,Spring Boot,https://github.com/spring-projects/spring-boot/pull/22256,Robustness,"""throws an exception when the configuration includes a valid mongo-URI""","""throws"", ""exception""",Description,-,-
15666,Spring Boot,https://github.com/spring-projects/spring-boot/pull/15666,None,-,-,-,-,-
10721,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10721,None,-,-,-,-,-
25810,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25810,None,-,-,-,-,-
28796,Spring Boot,https://github.com/spring-projects/spring-boot/pull/28796,None,-,-,-,-,-
14582,Spring Boot,https://github.com/spring-projects/spring-boot/pull/14582,None,-,-,-,-,-
10495,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10495,None,-,-,-,-,-
6707,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6707,None,-,-,-,-,-
4362,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4362,None,-,-,-,-,-
8683,Spring Boot,https://github.com/spring-projects/spring-boot/pull/8683,None,-,-,-,-,-
9445,Spring Boot,https://github.com/spring-projects/spring-boot/pull/9445,None,-,-,-,-,-
25115,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25115,None,-,-,-,-,-
17239,Spring Boot,https://github.com/spring-projects/spring-boot/pull/17239,None,-,-,-,-,-
7787,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7787,None,-,-,-,-,-
25116,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25116,Maintainability,""" exclude the duplicate legal files in the few problematic places""","""duplicated""",Description,-,-
23104,Spring Boot,https://github.com/spring-projects/spring-boot/pull/23104,None,-,-,-,-,-
11871,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11871,None,-,-,-,-,-
11518,Spring Boot,https://github.com/spring-projects/spring-boot/pull/11518,None,-,-,-,-,-
25598,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25598,None,-,-,-,-,-
20917,Spring Boot,https://github.com/spring-projects/spring-boot/pull/20917,None,-,-,-,-,-
4327,Spring Boot,https://github.com/spring-projects/spring-boot/pull/4327,None,-,-,-,-,-
23636,Spring Boot,https://github.com/spring-projects/spring-boot/pull/23636,None,-,-,-,-,-
1031,Spring Boot,https://github.com/spring-projects/spring-boot/pull/1031,Performance,"""The double evaluation then causes injection
ambiguities as we now get multiple beans ""","""multiple beans""",Description,-,-
19850,Spring Boot,https://github.com/spring-projects/spring-boot/pull/19850,Robustness,"""Additionally catch NoSuchFileException in IndexedLayers""","""catch""",Title,-,-
13966,Spring Boot,https://github.com/spring-projects/spring-boot/pull/13966,None,-,-,-,-,-
12449,Spring Boot,https://github.com/spring-projects/spring-boot/pull/12449,Robustness,"""methods should throw NoSuchElementException""","""throw""",Title,-,-
17617,Spring Boot,https://github.com/spring-projects/spring-boot/pull/17617,None,-,-,-,-,-
13837,Spring Boot,https://github.com/spring-projects/spring-boot/pull/13837,None,-,-,-,-,-
20230,Spring Boot,https://github.com/spring-projects/spring-boot/pull/20230,Robustness,"""I am seeing the following failure when running this test:""","""failure""",Discussion,-,-
6770,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6770,Maintainability,"""but I think the documentation could be a bit more clear.""","""documentation""",Description,-,-
2245,Spring Boot,https://github.com/spring-projects/spring-boot/pull/2245,Robustness,"""fixed jetty9 MalformedURLException"", ""My Jetty 9 application throws"", ""attach the stacktrace""","""throws"", ""stacktrace""","Title, Description ",-,-
17913,Spring Boot,https://github.com/spring-projects/spring-boot/pull/17913,None,-,-,-,-,-
23050,Spring Boot,https://github.com/spring-projects/spring-boot/pull/23050,None,-,-,-,-,-
6851,Spring Boot,https://github.com/spring-projects/spring-boot/pull/6851,None,-,-,-,-,-
16873,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16873,Performance,"""This commit makes the repackager thread-safe when it is invoked concurrently in the same lifecycle."", 
""I still don't understand how synchronized""","""thread-safe"", ""sychronized""","Description, Discussion",,-
31327,Spring Boot,https://github.com/spring-projects/spring-boot/pull/31327,None,-,-,-,-,-
13159,Spring Boot,https://github.com/spring-projects/spring-boot/pull/13159,None,-,-,-,-,-
7801,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7801,None,-,-,-,-,-
10546,Spring Boot,https://github.com/spring-projects/spring-boot/pull/10546,Robustness,"""Fix NPE if no database url is given""","""NPE""",Title,-,-
18632,Spring Boot,https://github.com/spring-projects/spring-boot/pull/18632,,,,,,
25726,Spring Boot,https://github.com/spring-projects/spring-boot/pull/25726,Performance,"""they aren't ready to handle traffic""","""traffic""",Discussion,-,-
8911,Spring Boot,https://github.com/spring-projects/spring-boot/pull/8911,None,-,-,-,-,-
19955,Spring Boot,https://github.com/spring-projects/spring-boot/pull/19955,None,-,-,-,-,-
16472,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16472,None,-,-,-,-,-
7241,Spring Boot,https://github.com/spring-projects/spring-boot/pull/7241,None,-,-,-,-,-
28400,Spring Boot,https://github.com/spring-projects/spring-boot/pull/28400,None,-,-,-,-,-
16583,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16583,None,-,-,-,-,-
16180,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16180,None,-,-,-,-,-
16285,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16285,Maintainability,"""URL Cleanup""","""cleanup""",Title,-,
3283,Spring Boot,https://github.com/spring-projects/spring-boot/pull/3283,None,-,-,-,-,-
16733,Spring Boot,https://github.com/spring-projects/spring-boot/pull/16733,None,,,,,
