NUMBER_ISSUE,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,LABEL,OBS
6578,https://github.com/spring-projects/spring-security/pull/6578,None,-,-,-,-,Polishing URLs
8418,https://github.com/spring-projects/spring-security/pull/8418,Robustness,"""CommunicationException is thrown"", 
"" introduce a new error message""","""thrown"", ""error""","Description, Discussion",-,-
8590,https://github.com/spring-projects/spring-security/pull/8590,Robustness,"""will result in a null pointer exception""","""null pointer exception""",Title,-,-
84,https://github.com/spring-projects/spring-security/pull/84,Security,"""SEC-2560""",-,Title,-,The NFR is infered by the tag SEC-2560 mentioned in the Title
7491,https://github.com/spring-projects/spring-security/pull/7491,Security,"""validate saml2 signatures""","""validate"", ""saml2""",Title,in: saml2,SAML 2.0 is an XML-based protocol that uses security tokens
8501,https://github.com/spring-projects/spring-security/pull/8501,"Security, Maintainability","Security: ""OAuth 2.0 Authorization Server Metadata"",
""Validate OidcIdToken""

Maintainability: ""Update documentation""","Security: ""oauth"", ""authorization"", ""validate""
Maintainability: ""documentation""",Description,in: oauth2,-
4879,https://github.com/spring-projects/spring-security/pull/4879,"Security, Maintainability","Maintainability, Security: ""Format security filters enums for readability""","""security"", ""readability""",Title,-,-
10041,https://github.com/spring-projects/spring-security/pull/10041,Security,"""Add converter for authentication result""","""authentication""",Title,in: oauth2,
3800,https://github.com/spring-projects/spring-security/pull/3800,None,-,-,-,-,Request to add a template to the github page
10701,https://github.com/spring-projects/spring-security/pull/10701,None,-,-,-,-,Add workflow that triggers release on due date
3937,https://github.com/spring-projects/spring-security/pull/3937,Security,"""populating a wrong authority.""","""authority""",Description,-,-
8653,https://github.com/spring-projects/spring-security/pull/8653,"Security, Maintainability","Security: ""Adds cookie""

Maintainability: ""follow the naming convention""","Security: ""cookie""
Maintainability: ""naming""","Title, Discussion",-,-
9482,https://github.com/spring-projects/spring-security/pull/9482,None,-,-,-,-,Fix missing return in example
8400,https://github.com/spring-projects/spring-security/pull/8400,Security,"""searching of LDAP groups""","""LDAP""",-,in: ldap,"LDAP is a software protocol for enabling anyone to locate data about organizations, individuals and other resources such as files and devices in a network"
9052,https://github.com/spring-projects/spring-security/pull/9052,Maintainability,"""This one could be named something like""","""named",Discussion,type: enhancement,-
6479,https://github.com/spring-projects/spring-security/pull/6479,Maintainability,"""discovered that the doc""","""doc""",Title,in: docs,
4041,https://github.com/spring-projects/spring-security/pull/4041,Security,"""Acegi security does not work with Tomcat8""","""security""",Description,-,-
7182,https://github.com/spring-projects/spring-security/pull/7182,Robustness,"""I also add check to save logic with throwing an exception"",
""remove this extra check and exception""","""throwing"", ""exception""",Discussion,-,-
5256,https://github.com/spring-projects/spring-security/pull/5256,None,-,-,-,-,The HttpHeader's ContentLength is a byte unit
6887,https://github.com/spring-projects/spring-security/pull/6887,"Robustness, Security, Maintainability","Robustness, Security: ""prefers an immediate null check as we can then be sure there isn't a null value later"",
""reduce the places for bugs to hide"", ""In security code especially""
Maintainability: ""I find it more difficult to read""","Robustness, Security: ""null, ""bugs""
Maintainability: ""difficult to read""",Discussion,-,-
5716,https://github.com/spring-projects/spring-security/pull/5716,Security,"""Reactive Jwt Validation""","""validation""",Title,-,-
10498,https://github.com/spring-projects/spring-security/pull/10498,Maintainability,"""Update aspectj-plugin""","""update""",Title,-,-
6641,https://github.com/spring-projects/spring-security/pull/6641,"Maintainability, Robustness","""URL Cleanup""","Maintainability: ""Cleanup""","Title, Discussion",-,The user shows that exceptions that would be thrown
8880,https://github.com/spring-projects/spring-security/pull/8880,Security,"""Resolve oauth2""","""ouath2""",Title,in: oauth2,-
10223,https://github.com/spring-projects/spring-security/pull/10223,Maintainability,"""match the rest of the documentation""","""documentation""",Discussion,"type: enhancemnt, 
in:docs",-
9062,https://github.com/spring-projects/spring-security/pull/9062,Performance,"""Disable parallel deployment build in GitHub Actions pipelines"",
""not run in parallel in CI pipeline""","""pipeline"", ""paralell""","Title, Description",-,-
7879,https://github.com/spring-projects/spring-security/pull/7879,Maintainability,"""complicates the control flow""","Maintainability: ""complicates""",Description,-,-
216,https://github.com/spring-projects/spring-security/pull/216,None,-,-,-,-,-
5230,https://github.com/spring-projects/spring-security/pull/5230,Maintainability,"""Support whitespace characters""","""support""",Title,type: enhancemnt,-
6979,https://github.com/spring-projects/spring-security/pull/6979,Maintainability,"""is called for comprehensible output to the logger.""","""comprehensible""",Description,type: enhancemnt,-
10304,https://github.com/spring-projects/spring-security/pull/10304,Maintainability,"""Fix typo in digest.adoc""","""typo""",Title,"type: enhancemnt, 
in:docs",-
9611,https://github.com/spring-projects/spring-security/pull/9611,None,-,-,-,-,-
7881,https://github.com/spring-projects/spring-security/pull/7881,Security,"""authorize URL parameters, 
""If the authorization URL in the OAuth2"", 
""adding query parameters to the authorization URL"", ","""authorize"", ""authorization","Title, Description",in: oauth2,-
6542,https://github.com/spring-projects/spring-security/pull/6542,"Performance, Robustness","Performance: ""changes that add cpu cycles"", ""If you are concerned about performance"", ""demonstrable inefficiencies""
Robustness: ""there are null checks"", ""known to be non-null"", ""will throw NullPointerException""","Performance: ""cpu cycles"", ""performance"", ""inefficiencies""
Robustness: ""null checks"", ""non-null, ""NullPointerException""","Title, Description, Discussion",-,-
7477,https://github.com/spring-projects/spring-security/pull/7477,"Security, Robustness","Security, Robustness: ""propagate saml authentication exception""","Security: ""saml"", ""authentication""
Robustness: ""exception""",Title,in: saml2,-
5441,https://github.com/spring-projects/spring-security/pull/5441,Performance,"""Transfer session's max inactive interval""","""session""",Title,-,-
4219,https://github.com/spring-projects/spring-security/pull/4219,Maintainability,"""Fix class name in comment""","""should be""",Description,in:docs,-
183,https://github.com/spring-projects/spring-security/pull/183,Maintainability,"""Remove duplicate test""","""duplicate""","Title, Description",-,-
5928,https://github.com/spring-projects/spring-security/pull/5928,Security,"""for when authentication is required""","""authentication""",Discussion,-,-
6298,https://github.com/spring-projects/spring-security/pull/6298,"Security, Robustness","Security: ""Extract OidcTokenValidator to an OAuth2TokenValidator""
Robustness: ""verifying the correct error was present""","Security: ""oauth2""
Robustness: ""error""",Discussion,in: oauth2,-
189,https://github.com/spring-projects/spring-security/pull/189,None,-,-,-,-,
9280,https://github.com/spring-projects/spring-security/pull/9280,None,-,-,-,-,
6540,https://github.com/spring-projects/spring-security/pull/6540,Security,"Security: ""usercache authorization server""","""authorization""",Title,-,
3885,https://github.com/spring-projects/spring-security/pull/3885,Maintainability,"""Document spring-security-test dependency""","""document""",Title,-,-
7813,https://github.com/spring-projects/spring-security/pull/7813,Security,"""deployments for OAuth2LoginAuthenticationFilter ""","""oauth2""",Title,in: oauth2,
8319,https://github.com/spring-projects/spring-security/pull/8319,None,-,-,-,-,
6116,https://github.com/spring-projects/spring-security/pull/6116,None,,,,,
10372,https://github.com/spring-projects/spring-security/pull/10372,Maintainability,"""Simple link fix in .editorconfig for fellow developers""",""".editorconfig""",Discussion,,
9654,https://github.com/spring-projects/spring-security/pull/9654,None,,,,,
