NUMBER_PR,SYSTEM,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,OBS,ISSUE
8418,Spring Security,https://github.com/spring-projects/spring-security/pull/8418,Robustness,"""CommunicationException is thrown"", 
"" introduce a new error message""","""thrown"", ""error""","Description, Discussion",-,https://github.com/spring-projects/spring-security/issues/2884
7491,Spring Security,https://github.com/spring-projects/spring-security/pull/7491,Security,"""validate saml2 signatures""","""validate"", ""saml2""",Title,SAML 2.0 is an XML-based protocol that uses security tokens,https://github.com/spring-projects/spring-security/issues/7490
8501,Spring Security,https://github.com/spring-projects/spring-security/pull/8501,"Security, Maintainability","Security: ""OAuth 2.0 Authorization Server Metadata"",
""Validate OidcIdToken""

Maintainability: ""Update documentation""","Security: ""oauth"", ""authorization"", ""validate""
Maintainability: ""documentation""",Description,-,https://github.com/spring-projects/spring-security/issues/8326
10041,Spring Security,https://github.com/spring-projects/spring-security/pull/10041,Security,"""Add converter for authentication result""","""authentication""",Title,,https://github.com/spring-projects/spring-security/issues/10033
10701,Spring Security,https://github.com/spring-projects/spring-security/pull/10701,None,-,-,-,Add workflow that triggers release on due date,https://github.com/spring-projects/spring-security/issues/10451
3937,Spring Security,https://github.com/spring-projects/spring-security/pull/3937,Security,"""populating a wrong authority.""","""authority""",Description,-,https://github.com/spring-projects/spring-security/issues/3921
8653,Spring Security,https://github.com/spring-projects/spring-security/pull/8653,"Security, Maintainability","Security: ""Adds cookie""

Maintainability: ""follow the naming convention""","Security: ""cookie""
Maintainability: ""naming""","Title, Discussion",-,https://github.com/spring-projects/spring-security/issues/8034
9052,Spring Security,https://github.com/spring-projects/spring-security/pull/9052,Maintainability,"""This one could be named something like""","""named",Discussion,-,https://github.com/spring-projects/spring-security/issues/9030
5716,Spring Security,https://github.com/spring-projects/spring-security/pull/5716,Security,"""Reactive Jwt Validation""","""validation""",Title,-,https://github.com/spring-projects/spring-security/issues/5650
8880,Spring Security,https://github.com/spring-projects/spring-security/pull/8880,Security,"""Resolve oauth2""","""ouath2""",Title,-,https://github.com/spring-projects/spring-security/issues/8453
9062,Spring Security,https://github.com/spring-projects/spring-security/pull/9062,Performance,"""Disable parallel deployment build in GitHub Actions pipelines"",
""not run in parallel in CI pipeline""","""pipeline"", ""paralell""","Title, Description",-,https://github.com/spring-projects/spring-security/issues/9008
5230,Spring Security,https://github.com/spring-projects/spring-security/pull/5230,Maintainability,"""Support whitespace characters""","""support""",Title,-,https://github.com/spring-projects/spring-security/issues/5229
7881,Spring Security,https://github.com/spring-projects/spring-security/pull/7881,Security,"""authorize URL parameters, 
""If the authorization URL in the OAuth2"", 
""adding query parameters to the authorization URL"",","""authorize"", ""authorization","Title, Description",-,https://github.com/spring-projects/spring-security/issues/7871
7477,Spring Security,https://github.com/spring-projects/spring-security/pull/7477,"Security, Robustness","Security, Robustness: ""propagate saml authentication exception""","Security: ""saml"", ""authentication""
Robustness: ""exception""",Title,-,https://github.com/spring-projects/spring-security/issues/7375
9280,Spring Security,https://github.com/spring-projects/spring-security/pull/9280,None,-,-,-,,https://github.com/spring-projects/spring-security/issues/9202
3885,Spring Security,https://github.com/spring-projects/spring-security/pull/3885,Maintainability,"""Document spring-security-test dependency""","""document""",Title,-,https://github.com/spring-projects/spring-security/issues/3873
8319,Spring Security,https://github.com/spring-projects/spring-security/pull/8319,None,-,-,-,,https://github.com/spring-projects/spring-security/issues/8316
6116,Spring Security,https://github.com/spring-projects/spring-security/pull/6116,None,,,,,https://github.com/spring-projects/spring-security/issues/6078
9654,Spring Security,https://github.com/spring-projects/spring-security/pull/9654,None,,,,,https://github.com/spring-projects/spring-security/issues/9653
11291,Spring Security,https://github.com/spring-projects/spring-security/pull/11291,Maintainability,"""The Title of Digest Authentication document doesn't render properly""","""Documentation"", ""Document""",Discussion,,https://github.com/spring-projects/spring-security/issues/11272
7780,Spring Security,https://github.com/spring-projects/spring-security/pull/7780,None,,,,,https://github.com/spring-projects/spring-security/issues/7645
6836,Spring Security,https://github.com/spring-projects/spring-security/pull/6836,Maintainability,"""Readme is outdated and does not reference the correct endpoints""","""Readme"", ""Outdated""",Discussion,,https://github.com/spring-projects/spring-security/issues/6834
9868,Spring Security,https://github.com/spring-projects/spring-security/pull/9868,Maintainability,"""Insufficient authentication message for French""","""French""",Title,,https://github.com/spring-projects/spring-security/issues/9315
6977,Spring Security,https://github.com/spring-projects/spring-security/pull/6977,None,,,,,https://github.com/spring-projects/spring-security/issues/6976
9218,Spring Security,https://github.com/spring-projects/spring-security/pull/9218,Maintainability,"""The existing containsClaim method is now deprecated.""","""Deprecated""",Discussion,,https://github.com/spring-projects/spring-security/issues/9201
7258,Spring Security,https://github.com/spring-projects/spring-security/pull/7258,Security,"""You can prevent any additional users from logging in when the maximum number of sessions has been reached""","""Prevent"", ""Login"", ""Session""",Discussion,,https://github.com/spring-projects/spring-security/issues/7166
7493,Spring Security,https://github.com/spring-projects/spring-security/pull/7493,None,,,,,https://github.com/spring-projects/spring-security/issues/7492
3839,Spring Security,https://github.com/spring-projects/spring-security/pull/3839,None,,,,,https://github.com/spring-projects/spring-security/issues/234
6956,Spring Security,https://github.com/spring-projects/spring-security/pull/6956,None,,,,,https://github.com/spring-projects/spring-security/issues/4939
7691,Spring Security,https://github.com/spring-projects/spring-security/pull/7691,Maintainability,"""Migrate LDAP integration tests groovy->java""","""Migrate"", ""Tests""",Title,,https://github.com/spring-projects/spring-security/issues/4939
