system,nfr,file,changes_before,changes_after
spring-security,Maintainability,CommonOAuth2Provider.java,10,27
spring-security,Maintainability,OidcIdTokenValidator.java,13,18
spring-security,Maintainability,ClientRegistration.java,32,64
spring-security,Maintainability,ClientRegistrations.java,15,26
spring-security,Maintainability,SecurityFilters.java,15,26
spring-security,Maintainability,CookieRequestCache.java,12,12
spring-security,Maintainability,JndiDnsResolver.java,4,14
spring-security,Maintainability,SessionManagementConfigurer.java,43,67
spring-security,Maintainability,RoleHierarchyImpl.java,10,23
spring-security,Maintainability,SessionRegistryImpl.java,9,24
spring-security,Maintainability,FilterInvocationSecurityMetadataSourceParser.java,13,29
spring-security,Maintainability,OAuth2ResourceServerSecurityConfiguration.java,12,14
spring-security,Maintainability,BCrypt.java,18,24
spring-security,Maintainability,BCryptPasswordEncoder.java,12,16
spring-security,Maintainability,BasicLookupStrategy.java,14,53
spring-security,Maintainability,JdbcAclService.java,11,38
spring-security,Maintainability,ClaimAccessor.java,7,23
spring-security,Maintainability,JwtGrantedAuthoritiesConverter.java,11,15
spring-security,Maintainability,ServerHttpSecurity.java,81,100
spring-security,Maintainability,DefaultOAuth2AuthorizationRequestResolver.java,22,28
spring-security,Maintainability,DefaultServerOAuth2AuthorizationRequestResolver.java,12,20
spring-security,Maintainability,OAuth2AuthorizationRequest.java,13,23
spring-security,Maintainability,AbstractAuthenticationProcessingFilter.java,2,48
spring-security,Maintainability,JwtIssuerAuthenticationManagerResolver.java,5,13
spring-security,Maintainability,JwtIssuerReactiveAuthenticationManagerResolver.java,8,14
spring-security,Maintainability,ReferrerPolicyHeaderWriter.java,8,9
spring-security,Maintainability,OAuth2ResourceServerConfigurer.java,43,52
spring-security,Maintainability,AuthenticationManagerResolver.java,2,2
spring-security,Maintainability,JwtAuthenticationProvider.java,10,15
spring-security,Maintainability,BearerTokenAuthenticationFilter.java,19,20
spring-security,Maintainability,MockWebServerEnvironmentPostProcessor.java,2,2
spring-security,Maintainability,MockWebServerPropertySource.java,3,3
spring-security,Maintainability,package-info.java,1,3
spring-security,Maintainability,OAuth2ResourceServerApplication.java,3,3
spring-security,Maintainability,OAuth2ResourceServerController.java,5,5
spring-security,Maintainability,DelegatingJwtGrantedAuthoritiesConverter.java,2,2
spring-security,Maintainability,OAuth2ClientConfiguration.java,16,21
spring-security,Maintainability,OAuth2ClientConfigurer.java,16,22
spring-security,Maintainability,AuthenticatedPrincipalOAuth2AuthorizedClientRepository.java,8,8
spring-security,Maintainability,HttpSessionOAuth2AuthorizedClientRepository.java,7,7
spring-security,Maintainability,OAuth2AuthorizationCodeGrantFilter.java,15,23
spring-security,Maintainability,OAuth2AuthorizedClientRepository.java,6,6
spring-security,Maintainability,OAuth2AuthorizedClientArgumentResolver.java,16,20
spring-security,Maintainability,MethodSecurityExpressionRoot.java,4,13
spring-security,Maintainability,Pbkdf2PasswordEncoder.java,17,20
spring-security,Maintainability,SecurityConfigurer.java,4,7
spring-security,Maintainability,AclClassIdUtils.java,11,15
spring-security,Maintainability,AssertionImplMixin.java,7,11
spring-security,Maintainability,AttributePrincipalImplMixin.java,7,11
spring-security,Maintainability,CasAuthenticationTokenMixin.java,7,11
spring-security,Maintainability,CasAuthenticationFilter.java,16,25
spring-security,Maintainability,AbstractConfiguredSecurityBuilder.java,12,22
spring-security,Maintainability,SecurityConfigurerAdapter.java,13,20
spring-security,Maintainability,AuthenticationConfiguration.java,16,35
spring-security,Maintainability,InitializeAuthenticationProviderBeanManagerConfigurer.java,7,10
spring-security,Maintainability,InitializeUserDetailsBeanManagerConfigurer.java,4,13
spring-security,Maintainability,AutowireBeanFactoryObjectPostProcessor.java,11,19
spring-security,Maintainability,GlobalMethodSecurityConfiguration.java,24,52
spring-security,Maintainability,GlobalMethodSecuritySelector.java,8,15
spring-security,Maintainability,HttpSecurity.java,88,100
spring-security,Maintainability,AutowiredWebSecurityConfigurersIgnoreParents.java,6,10
spring-security,Maintainability,WebSecurityConfigurerAdapter.java,20,57
spring-security,Maintainability,AbstractInterceptUrlConfigurer.java,7,19
spring-security,Maintainability,ExpressionUrlAuthorizationConfigurer.java,16,36
spring-security,Maintainability,UrlAuthorizationConfigurer.java,21,34
spring-security,Maintainability,AbstractSecurityWebSocketMessageBrokerConfigurer.java,16,35
spring-security,Maintainability,RsaKeyConversionServicePostProcessor.java,8,9
spring-security,Maintainability,AuthenticationConfigBuilder.java,32,76
spring-security,Maintainability,HttpConfigurationBuilder.java,48,98
