NUMBER_ISSUE,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,LABEL,OBS
665,https://github.com/spring-projects/spring-framework/pull/665,None,-,-,-,-,Deleted unused import
26995,https://github.com/spring-projects/spring-framework/pull/26995,None,-,-,-,-,"Add missing "")"" in Kotlin example"
1309,https://github.com/spring-projects/spring-framework/pull/1309,None,-,-,-,-,Fix missing uriVariables
22637,https://github.com/spring-projects/spring-framework/pull/22637,None,-,-,-,-,URL Cleanup
28775,https://github.com/spring-projects/spring-framework/pull/28775,None,-,-,-,-,Bug when dealing with repeated annotations
692,https://github.com/spring-projects/spring-framework/pull/692,None,-,-,-,-,JIRA
25621,https://github.com/spring-projects/spring-framework/pull/25621,"Performance, Robustness","Performance, Robustness: ""SocketUtils ServerSocket、DatagramSocket use try-with-resource""","Performance: ""sockets""
Robustness: ""try""","Title, Discussion",-,-
31,https://github.com/spring-projects/spring-framework/pull/31,None,-,-,-,-,Run sql scripts before each test method
1424,https://github.com/spring-projects/spring-framework/pull/1424,Robustness,"""Logging exception in ExceptionWebSocketHandlerDecorator"",
""I was having some hibernate exception in the back, but the exception is not getting printed/logged"",
""exception handling is there but logging is missing.""","""exception"", ""handling, ""logging""","Title, Discussion",-,-
1498,https://github.com/spring-projects/spring-framework/pull/1498,None,-,-,-,-,Support groovy markup
712,https://github.com/spring-projects/spring-framework/pull/712,None,-,-,-,-,JIRA
1035,https://github.com/spring-projects/spring-framework/pull/1035,Maintainability,"""fix WebRequest.checkNotModified docs""","""docs""",Title,-,type: documentation
664,https://github.com/spring-projects/spring-framework/pull/664,None,-,-,-,-,Merge
24617,https://github.com/spring-projects/spring-framework/pull/24617,Performance,"""avoids some unnecessary sorting overhead""","""overhead""","Title, Description",-,-
163,https://github.com/spring-projects/spring-framework/pull/163,None,-,-,-,-,Allow SpEL reserved words in type package names
395,https://github.com/spring-projects/spring-framework/pull/395,Maintainability,"""Migrate documentation to asciidoctor""","""documentation""","Title, Description",-,-
1691,https://github.com/spring-projects/spring-framework/pull/1691,Maintainability,"""Corrected Javadoc""","""javadoc""","Title, Description",-,-
247,https://github.com/spring-projects/spring-framework/pull/247,Maintainability,"""Where appropriate, updated Javadoc to refer to the""","""javadoc""",Description,-,-
25612,https://github.com/spring-projects/spring-framework/pull/25612,None,-,-,-,-,Merge
1277,https://github.com/spring-projects/spring-framework/pull/1277,Security,"""to use a different authentication method""","""authentication""",Description,-,-
26353,https://github.com/spring-projects/spring-framework/pull/26353,None,-,-,-,-,Merge
312,https://github.com/spring-projects/spring-framework/pull/312,"Robustness, Performance","Robustness, Performance: ""If you throw an exception when getBody is called, then how will the body be flushed to the stream?""","Robustness: ""exception""
Performance: ""stream""",Review,-,-
1861,https://github.com/spring-projects/spring-framework/pull/1861,None,-,-,-,-,Propagate read-only status
27482,https://github.com/spring-projects/spring-framework/pull/27482,Maintainability,"""Feat/fix java doc""","""javadoc""","Title, Description",-,
598,https://github.com/spring-projects/spring-framework/pull/598,None,-,-,-,-,Add filtered properties
53,https://github.com/spring-projects/spring-framework/pull/53,Maintainability,"""This allows SpEL to support this syntax kind of syntax""","""syntax""","Title, Discussion",-,-
