number,url,developers,nfrs
1424,https://github.com/spring-projects/spring-framework/pull/1424,['rstoyanchev'],['Robustness']
24617,https://github.com/spring-projects/spring-framework/pull/24617,"['rstoyanchev', 'dreis2211']",['Performance']
395,https://github.com/spring-projects/spring-framework/pull/395,['rwinch'],['Maintainability']
312,https://github.com/spring-projects/spring-framework/pull/312,['rstoyanchev'],"['Robustness', 'Performance']"
25897,https://github.com/spring-projects/spring-framework/pull/25897,['rstoyanchev'],['Performance']
571,https://github.com/spring-projects/spring-framework/pull/571,"['philwebb', 'rstoyanchev']",['Maintainability']
1147,https://github.com/spring-projects/spring-framework/pull/1147,['dreis2211'],['Performance']
800,https://github.com/spring-projects/spring-framework/pull/800,['rstoyanchev'],['Performance']
24903,https://github.com/spring-projects/spring-framework/pull/24903,['rstoyanchev'],['Maintainability']
24674,https://github.com/spring-projects/spring-framework/pull/24674,['dreis2211'],['Performance']
25058,https://github.com/spring-projects/spring-framework/pull/25058,['wilkinsona'],['Performance']
419,https://github.com/spring-projects/spring-framework/pull/419,['rstoyanchev'],['Robustness']
1889,https://github.com/spring-projects/spring-framework/pull/1889,['rwinch'],['Security']
24105,https://github.com/spring-projects/spring-framework/pull/24105,['wilkinsona'],['Performance']
24926,https://github.com/spring-projects/spring-framework/pull/24926,['rstoyanchev'],['Maintainability']
744,https://github.com/spring-projects/spring-framework/pull/744,['rstoyanchev'],['Maintainability']
1296,https://github.com/spring-projects/spring-framework/pull/1296,['rstoyanchev'],['Robustness']
1368,https://github.com/spring-projects/spring-framework/pull/1368,['dreis2211'],['Maintainability']
27997,https://github.com/spring-projects/spring-framework/pull/27997,['rstoyanchev'],['Maintainability']
1427,https://github.com/spring-projects/spring-framework/pull/1427,['rstoyanchev'],['Robustness']
1977,https://github.com/spring-projects/spring-framework/pull/1977,['rstoyanchev'],['Performance']
636,https://github.com/spring-projects/spring-framework/pull/636,['rstoyanchev'],['Security']
253,https://github.com/spring-projects/spring-framework/pull/253,['philwebb'],['Maintainability']
22993,https://github.com/spring-projects/spring-framework/pull/22993,['rstoyanchev'],['Maintainability']
28744,https://github.com/spring-projects/spring-framework/pull/28744,['izeye'],['Maintainability']
1138,https://github.com/spring-projects/spring-framework/pull/1138,['dreis2211'],['Performance']
23780,https://github.com/spring-projects/spring-framework/pull/23780,"['izeye', 'rstoyanchev']",['Maintainability']
24651,https://github.com/spring-projects/spring-framework/pull/24651,['rstoyanchev'],['Maintainability']
1439,https://github.com/spring-projects/spring-framework/pull/1439,"['rstoyanchev', 'dreis2211']",['Performance']
24694,https://github.com/spring-projects/spring-framework/pull/24694,['rstoyanchev'],['Performance']
27830,https://github.com/spring-projects/spring-framework/pull/27830,['rstoyanchev'],['Maintainability']
1428,https://github.com/spring-projects/spring-framework/pull/1428,['rstoyanchev'],['Robustness']
154,https://github.com/spring-projects/spring-framework/pull/154,['philwebb'],['Robustness']
23341,https://github.com/spring-projects/spring-framework/pull/23341,['philwebb'],['Performance']
24588,https://github.com/spring-projects/spring-framework/pull/24588,['rstoyanchev'],['Robustness']
1447,https://github.com/spring-projects/spring-framework/pull/1447,['rstoyanchev'],['Maintainability']
359,https://github.com/spring-projects/spring-framework/pull/359,['rstoyanchev'],['Robustness']
28448,https://github.com/spring-projects/spring-framework/pull/28448,['wilkinsona'],['Maintainability']
22728,https://github.com/spring-projects/spring-framework/pull/22728,['rstoyanchev'],['Robustness']
28836,https://github.com/spring-projects/spring-framework/pull/28836,['rstoyanchev'],"['Robustness', 'Security']"
23815,https://github.com/spring-projects/spring-framework/pull/23815,['rstoyanchev'],['Robustness']
573,https://github.com/spring-projects/spring-framework/pull/573,['rstoyanchev'],['Maintainability']
345,https://github.com/spring-projects/spring-framework/pull/345,['rstoyanchev'],['Robustness']
27334,https://github.com/spring-projects/spring-framework/pull/27334,['rstoyanchev'],['Maintainability']
26487,https://github.com/spring-projects/spring-framework/pull/26487,['rstoyanchev'],['Robustness']
194,https://github.com/spring-projects/spring-framework/pull/194,"['rstoyanchev', 'rwinch']",['Robustness']
1628,https://github.com/spring-projects/spring-framework/pull/1628,"['philwebb', 'dreis2211']",['Robustness']
