number,url,developers,nfrs
8418,https://github.com/spring-projects/spring-security/pull/8418,['rwinch'],['Robustness']
8590,https://github.com/spring-projects/spring-security/pull/8590,['eleftherias'],['Robustness']
84,https://github.com/spring-projects/spring-security/pull/84,['rwinch'],['Security']
8501,https://github.com/spring-projects/spring-security/pull/8501,['jgrandja'],"['Security', 'Maintainability']"
4879,https://github.com/spring-projects/spring-security/pull/4879,['rwinch'],"['Security', 'Maintainability']"
3937,https://github.com/spring-projects/spring-security/pull/3937,['rwinch'],['Security']
8653,https://github.com/spring-projects/spring-security/pull/8653,['eleftherias'],"['Security', 'Maintainability']"
8400,https://github.com/spring-projects/spring-security/pull/8400,['rwinch'],['Security']
9052,https://github.com/spring-projects/spring-security/pull/9052,['eleftherias'],['Maintainability']
6479,https://github.com/spring-projects/spring-security/pull/6479,['rwinch'],['Maintainability']
4041,https://github.com/spring-projects/spring-security/pull/4041,['rwinch'],['Security']
7182,https://github.com/spring-projects/spring-security/pull/7182,"['rwinch', 'jzheaux']",['Robustness']
6887,https://github.com/spring-projects/spring-security/pull/6887,"['rwinch', 'eleftherias']","['Robustness', 'Security', 'Maintainability']"
5716,https://github.com/spring-projects/spring-security/pull/5716,['jzheaux'],['Security']
8880,https://github.com/spring-projects/spring-security/pull/8880,['jgrandja'],['Security']
10223,https://github.com/spring-projects/spring-security/pull/10223,"['rwinch', 'jzheaux', 'jgrandja', 'eleftherias']",['Maintainability']
9062,https://github.com/spring-projects/spring-security/pull/9062,['jgrandja'],['Performance']
7879,https://github.com/spring-projects/spring-security/pull/7879,['jzheaux'],['Maintainability']
5230,https://github.com/spring-projects/spring-security/pull/5230,['rwinch'],['Maintainability']
6979,https://github.com/spring-projects/spring-security/pull/6979,['rwinch'],['Maintainability']
10304,https://github.com/spring-projects/spring-security/pull/10304,['jgrandja'],['Maintainability']
7881,https://github.com/spring-projects/spring-security/pull/7881,['jgrandja'],['Security']
6542,https://github.com/spring-projects/spring-security/pull/6542,['jzheaux'],"['Performance', 'Robustness']"
7477,https://github.com/spring-projects/spring-security/pull/7477,['jzheaux'],"['Security', 'Robustness']"
5441,https://github.com/spring-projects/spring-security/pull/5441,['eleftherias'],['Performance']
4219,https://github.com/spring-projects/spring-security/pull/4219,['rwinch'],['Maintainability']
183,https://github.com/spring-projects/spring-security/pull/183,"['rwinch', 'izeye']",['Maintainability']
5928,https://github.com/spring-projects/spring-security/pull/5928,"['rwinch', 'eleftherias']",['Security']
6298,https://github.com/spring-projects/spring-security/pull/6298,"['rwinch', 'jgrandja']","['Security', 'Robustness']"
6540,https://github.com/spring-projects/spring-security/pull/6540,"['wilkinsona', 'rwinch', 'jzheaux', 'jgrandja']",['Security']
3885,https://github.com/spring-projects/spring-security/pull/3885,"['rwinch', 'jgrandja']",['Maintainability']
7813,https://github.com/spring-projects/spring-security/pull/7813,['jgrandja'],['Security']
11291,https://github.com/spring-projects/spring-security/pull/11291,['jzheaux'],['Maintainability']
30,https://github.com/spring-projects/spring-security/pull/30,['rwinch'],"['Security', 'Robustness']"
6836,https://github.com/spring-projects/spring-security/pull/6836,"['jzheaux', 'eleftherias']",['Maintainability']
4206,https://github.com/spring-projects/spring-security/pull/4206,['rwinch'],['Maintainability']
10081,https://github.com/spring-projects/spring-security/pull/10081,['jzheaux'],['Maintainability']
9658,https://github.com/spring-projects/spring-security/pull/9658,['jzheaux'],['Robustness']
5900,https://github.com/spring-projects/spring-security/pull/5900,['rwinch'],['Maintainability']
4970,https://github.com/spring-projects/spring-security/pull/4970,['jzheaux'],['Performance']
3897,https://github.com/spring-projects/spring-security/pull/3897,['rwinch'],['Maintainability']
9218,https://github.com/spring-projects/spring-security/pull/9218,['jzheaux'],['Maintainability']
4194,https://github.com/spring-projects/spring-security/pull/4194,['rwinch'],['Robustness']
7258,https://github.com/spring-projects/spring-security/pull/7258,"['rwinch', 'eleftherias']",['Security']
6582,https://github.com/spring-projects/spring-security/pull/6582,['rwinch'],['Maintainability']
3836,https://github.com/spring-projects/spring-security/pull/3836,"['rwinch', 'jgrandja']",['Maintainability']
4547,https://github.com/spring-projects/spring-security/pull/4547,"['rwinch', 'jgrandja']",['Maintainability']
7510,https://github.com/spring-projects/spring-security/pull/7510,['eleftherias'],['Maintainability']
9303,https://github.com/spring-projects/spring-security/pull/9303,['jzheaux'],['Robustness']
7643,https://github.com/spring-projects/spring-security/pull/7643,['jzheaux'],['Maintainability']
252,https://github.com/spring-projects/spring-security/pull/252,"['rwinch', 'jgrandja']",['Security']
7691,https://github.com/spring-projects/spring-security/pull/7691,['eleftherias'],['Maintainability']
5655,https://github.com/spring-projects/spring-security/pull/5655,"['rwinch', 'jzheaux', 'jgrandja']",['Security']
6938,https://github.com/spring-projects/spring-security/pull/6938,['jgrandja'],['Security']
7467,https://github.com/spring-projects/spring-security/pull/7467,['jgrandja'],"['Security', 'Maintainability']"
203,https://github.com/spring-projects/spring-security/pull/203,['rwinch'],['Security']
51,https://github.com/spring-projects/spring-security/pull/51,['rwinch'],['Security']
7694,https://github.com/spring-projects/spring-security/pull/7694,['eleftherias'],['Maintainability']
9505,https://github.com/spring-projects/spring-security/pull/9505,['jgrandja'],['Security']
6393,https://github.com/spring-projects/spring-security/pull/6393,['jzheaux'],['Security']
6375,https://github.com/spring-projects/spring-security/pull/6375,['jgrandja'],['Security']
10574,https://github.com/spring-projects/spring-security/pull/10574,['rwinch'],['Security']
6097,https://github.com/spring-projects/spring-security/pull/6097,['rwinch'],['Security']
11321,https://github.com/spring-projects/spring-security/pull/11321,"['jzheaux', 'jgrandja']",['Security']
5316,https://github.com/spring-projects/spring-security/pull/5316,['rwinch'],['Robustness']
8583,https://github.com/spring-projects/spring-security/pull/8583,"['jzheaux', 'jgrandja']",['Security']
63,https://github.com/spring-projects/spring-security/pull/63,['rwinch'],['Security']
7748,https://github.com/spring-projects/spring-security/pull/7748,['jgrandja'],['Maintainability']
8854,https://github.com/spring-projects/spring-security/pull/8854,['jzheaux'],['Security']
11054,https://github.com/spring-projects/spring-security/pull/11054,['eleftherias'],['Maintainability']
